,title,src_language,trg_language,genre,size,ids
0,elexis KOTUS Karelian dictionary,,,['gen'],88575,['elexis-kotus-kks']
1,elexis OEAW DC DGA YUE - A machine-readable Dictionary of Dagaare,,,['gen'],1252,['elexis-oeaw-dcdgayue']
2,A Digital Dictionary of Tunis Arabic,ar,['ar'],['gen'],7661,['tei-elexis-oeaw-digital_dictionary_of_tunis_arabic_dc_aeb_eng_002_vle_curation_2020_06_30_b-remapped']
3,A digital dictionary of Damascus Arabic,ar,['ar'],['gen'],2600,['tei-elexis-oeaw-digital_dictionary_of_damascus_arabic_dc_apc_eng_005_vle_curation_2020_07_09_c-remapped']
4,A machine-readable Dictionary of Dagaare,ar,['ar'],['gen'],1252,['tei-elexis-oeaw-dictionary_of_dagaare_dc_dga_yue__v002__2020_07_09_a-remapped']
5,A machine-readable Persian-English Dictionary,ar,['ar'],['gen'],10628,['tei-elexis-oeaw-dictionary_of_persian_english_dc_pes_eng_038_local_2020_06_30_c-remapped']
6,elexis ICNC IC12 core en ar,ar,['ar'],['gen'],561,['elexis-icnc-ic12-core-en-ar']
7,elexis KD Arabic - French,ar,['ar'],['gen'],11745,['elexis-kd-arfr']
8,elexis OEAW DC APC ENG - A digital dictionary of Damascus Arabic,ar,['ar'],['gen'],2600,['elexis-oeaw-dcapceng']
9,mlds-AR1FR,ar,['ar'],['gen'],11745,['tei-elexis-kd-globalarabicfrench_mlds-ar1fr_all_def-mlds_ar1fr-v1']
10,elexis ICNC IC12 core en be,be,['be'],['gen'],163246,['elexis-icnc-ic12-core-en-be']
11,TEI ELEXIS IBL BG_DICTIONARY_ANTONYMS_FINAL,bg,['bg'],['gen'],8809,['tei-elexis-ibl-bg_dictionary_antonyms_final']
12,TEI ELEXIS IBL BG_DICTIONARY_FINAL,bg,['bg'],['gen'],51000,['tei-elexis-ibl-bg_dictionary_final']
13,TEI ELEXIS IBL BG_DICTIONARY_NEWWORDS_FINAL,bg,['bg'],['gen'],2377,['tei-elexis-ibl-bg_dictionary_newwords_final']
14,TEI ELEXIS IBL BG_DICTIONARY_SYNONYMS_FINAL,bg,['bg'],['gen'],21417,['tei-elexis-ibl-bg_dictionary_synonyms_final']
15,elexis IBL BG Dictionary Antonyms,bg,['bg'],['gen'],10390,['elexis-ibl-antonyms']
16,elexis IBL BG Dictionary Synonyms,bg,['bg'],['gen'],29998,['elexis-ibl-synonyms']
17,elexis IBL BG Explanatory Dictionary,bg,['bg'],['gen'],59622,['elexis-ibl-explanatory']
18,elexis IBL BG New Words,bg,['bg'],['gen'],2658,['elexis-ibl-newwords']
19,elexis ICNC IC12 acquis en bg,bg,['bg'],['gen'],277206,['elexis-icnc-ic12-acquis-en-bg']
20,elexis ICNC IC12 core en bg,bg,['bg'],['gen'],225982,['elexis-icnc-ic12-core-en-bg']
21,elexis ICNC IC12 europarl en bg,bg,['bg'],['gen'],310136,['elexis-icnc-ic12-europarl-en-bg']
22,elexis IICT-BAS ValencyLexicon BG,bg,['bg'],['gen'],9574,['elexis-iictbas-valencylexiconBG']
23,elexis ICNC IC12 bible en ca,ca,['ca'],['gen'],27495,['elexis-icnc-ic12-bible-en-ca']
24,elexis ICNC IC12 core en ca,ca,['ca'],['gen'],170593,['elexis-icnc-ic12-core-en-ca']
25,elexis ICNC IC12 acquis en cs,cs,['cs'],['gen'],418661,['elexis-icnc-ic12-acquis-en-cs']
26,elexis ICNC IC12 bible en cs,cs,['cs'],['gen'],35454,['elexis-icnc-ic12-bible-en-cs']
27,elexis ICNC IC12 core en cs,cs,['cs'],['gen'],1325596,['elexis-icnc-ic12-core-en-cs']
28,elexis ICNC IC12 europarl en cs,cs,['cs'],['gen'],492919,['elexis-icnc-ic12-europarl-en-cs']
29,elexis ICNC IC12 presseurop en cs,cs,['cs'],['gen'],132418,['elexis-icnc-ic12-presseurop-en-cs']
30,elexis ICNC IC12 syndicate en cs,cs,['cs'],['gen'],303599,['elexis-icnc-ic12-syndicate-en-cs']
31,elexis ICNC Lemma list,cs,['cs'],['gen'],169934,['elexis-icnc-lemma']
32,DDO Lemma list,da,['da'],['gen'],99286,['tei-elexis-dsl-dsl_ddo_lemmas_01']
33,Kalkar's Dictionary,da,['da'],['gen'],76430,['tei-elexis-dsl-dsl_kalkar_01']
34,Moth's Dictionary,da,['da'],['gen'],93832,['tei-elexis-dsl-dsl_moth_01']
35,ODS Lemma list,da,['da'],['gen'],163012,['tei-elexis-dsl-dsl_ods_lemmas_01']
36,ODS_basic_01,da,['da'],['gen'],4515,['tei-elexis-dsl-dsl_ods_basic_01']
37,"The Danish Dictionary (basic voc, version2)",da,['da'],['gen'],5197,['tei-elexis-dsl-dsl_ddo_basic_02']
38,elexis DSL DDO,da,['da'],['gen'],99286,['elexis-dsl-ddo']
39,elexis DSL DDO basic,da,['da'],['gen'],5122,['elexis-dsl-ddobasic']
40,elexis DSL Kalkar,da,['da'],['gen'],76388,['elexis-dsl-kalkar']
41,elexis DSL Moth,da,['da'],['gen'],93832,['elexis-dsl-moth']
42,elexis DSL ODS,da,['da'],['gen'],163012,['elexis-dsl-ods']
43,elexis DSL ODS basic,da,['da'],['gen'],4515,['elexis-dsl-odsbasic']
44,elexis ICNC IC12 acquis en da,da,['da'],['gen'],349446,['elexis-icnc-ic12-acquis-en-da']
45,elexis ICNC IC12 bible en da,da,['da'],['gen'],27421,['elexis-icnc-ic12-bible-en-da']
46,elexis ICNC IC12 core en da,da,['da'],['gen'],232257,['elexis-icnc-ic12-core-en-da']
47,elexis ICNC IC12 europarl en da,da,['da'],['gen'],378719,['elexis-icnc-ic12-europarl-en-da']
48,Neues Idioticon Viennense,de,['de'],['gen'],0,['tei-elexis-oeaw-neues_idioticon_viennense_deu_loritza_2015_10_22_a-doc-remapped']
49,Wörterbuch des Wiener Dialektes,de,['de'],['gen'],8478,['tei-elexis-oeaw-jakob1929-remapped']
50,elexis ICNC IC12 acquis en de,de,['de'],['gen'],323716,['elexis-icnc-ic12-acquis-en-de']
51,elexis ICNC IC12 bible en de,de,['de'],['gen'],27104,['elexis-icnc-ic12-bible-en-de']
52,elexis ICNC IC12 core en de,de,['de'],['gen'],499686,['elexis-icnc-ic12-core-en-de']
53,elexis ICNC IC12 europarl en de,de,['de'],['gen'],354901,['elexis-icnc-ic12-europarl-en-de']
54,elexis ICNC IC12 presseurop en de,de,['de'],['gen'],101633,['elexis-icnc-ic12-presseurop-en-de']
55,elexis ICNC IC12 syndicate en de,de,['de'],['gen'],216164,['elexis-icnc-ic12-syndicate-en-de']
56,elexis IDS elexiko,de,['de'],['gen'],275756,['elexis-ids-elexiko']
57,elexis Idiotikon,de,['de'],['gen'],160245,['elexis-idiotikon']
58,elexis OEAW DEU LORITZA - Neues Idioticon Viennense,de,['de'],['gen'],4171,['elexis-oeaw-loritza']
59,elexis OEAW Jakob 1929 - Wörterbuch des Wiener Dialektes,de,['de'],['gen'],8475,['elexis-oeaw-jakob']
60,elexis OEAW R WBOE - Dictionary of Bavarian Dialects of Austria,de,['de'],['gen'],9139,['elexis-oeaw-rwboe']
61,elexis OEAW Schranka 1905 - Wiener Dialekt-Lexikon,de,['de'],['gen'],1334,['elexis-oeaw-schranka']
62,elexis Ortsnamen,de,['de'],['gen'],734778,['elexis-ortsnamen']
63,"elexis TCDH Middle High German Dictionary (Benecke, Müller, Zarncke)",de,['de'],['gen'],36048,['elexis-tcdh-bmz']
64,MLDS_el1-fr-all,el,['el'],['gen'],12056,['tei-elexis-kd-globalgreekfrench_mlds_el1-fr-all-def-mlds_el1-fr-v1']
65,elexis ICNC IC12 acquis en el,el,['el'],['gen'],351950,['elexis-icnc-ic12-acquis-en-el']
66,elexis ICNC IC12 europarl en el,el,['el'],['gen'],402244,['elexis-icnc-ic12-europarl-en-el']
67,elexis KD Greek - French,el,['el'],['gen'],12056,['elexis-kd-elfr']
68,00031.png.pdf.pdf - annotate,en,['en'],['gen'],1,['ske_elexis_D7TZ5Y70H5']
69,0_Kofein_LexVoc Vocabulary of Lexicographic Terms,en,['en'],['gen'],484,['626p934y']
70,0_Kofein_LexVoc_slv_Slovene,en,['en'],['gen'],485,['fceugxkj']
71,0_Luka-testing-LexVoc Vocabulary of Lexicographic Terms,en,['en'],['gen'],484,['ct73pybb']
72,123,en,['en'],['gen'],3,['i8ft6w8h']
73,A-C-Strecke_Saarbrücker.pdf - annotate,en,['en'],['gen'],1,"['elexis_1E3FKLG5EV', 'elexis_CINY4DOJEJ', 'elexis_7CTRIXNVRE']"
74,A-C-Strecke_Saarbrücker_OCR.pdf - annotate,en,['en'],['gen'],1,['elexis_XEU4E9W2HD']
75,A-C-Strecke_Saarbrücker_OCR.pdf - preview,en,['en'],['gen'],0,['elexis_7H74M713JK']
76,ANOTATED Mali sloang,en,['en'],['gen'],1,['vqymbjj4']
77,ANOTATED Sloita,en,['en'],['gen'],1,['c3uc8win']
78,ANOTATED Srbslo,en,['en'],['gen'],1,['ccpdpyf9']
79,Aasaasi one page sample.pdf - annotate,en,['en'],['gen'],1,['ske_elexis_HK8KCBEXRX']
80,Agriculture Terms and Definitions.pdf - annotate,en,['en'],['gen'],1,['ske_elexis_WEUUU6V7T1']
81,Another ANOTATED Sloeng,en,['en'],['gen'],33,['tntxmxfn']
82,Another ANOTATED Sloita,en,['en'],['gen'],27,['fr7efn2k']
83,Another ANOTATED Srbslo,en,['en'],['gen'],9,['he9b7ya6']
84,AtoZ_KBBI.pdf - annotate,en,['en'],['gen'],1,['ske_elexis_O1EQLFD804']
85,BasicEnglishSample.pdf - annotate,en,['en'],['gen'],1,['ske_elexis_CTULNEUB54']
86,Basque Wikidata,en,['en'],['gen'],21645,['basque-wikidata']
87,Basque_dictionary.pdf - preview,en,['en'],['gen'],243,['elexis_OEUFFAZLZW']
88,Ben_dio 13.pdf - annotate,en,['en'],['gen'],0,"['elexis_3V18C3G0MN', 'elexis_NS4WO24TTF']"
89,Benesic_svezak 13.pdf - annotate,en,['en'],['gen'],1,"['elexis_GJ063LXMAI', 'elexis_26GQ1E0NT8']"
90,Bridge Slovenian,en,['en'],['gen'],1,['bridge-slovenian']
91,BridgeSample.pdf - annotate,en,['en'],['gen'],1,['ske_elexis_1QXAOB8HFL']
92,BridgeSample.pdf - preview,en,['en'],['gen'],2,['ske_elexis_XBWRXC6IC8']
93,Bridge_A.pdf,en,['en'],['gen'],1,"['elexis_B3VNJSPOYE', 'ske_elexis_IK908JW7S6', 'ske_elexis_122TMD98WQ']"
94,Bridge_A.pdf - annotate,en,['en'],['gen'],1,['elexis_Y8RCM3TR4H']
95,Bridge_A.pdf2019-12-05 21:03:27.001141,en,['en'],['gen'],1,['elexis_91FWAJC2RJ']
96,Bulgarian - Romanian,en,['en'],['gen'],4,['vxp7sw6c']
97,Clone of skolski-rjecnik-sve-rad.pdf - annotate,en,['en'],['gen'],1,['m9h8whhg']
98,CyberspeakP1.pdf - annotate,en,['en'],['gen'],3,"['elexis_YHRKBEYEPX', 'elexis_A82NJ54CSS', 'elexis_Q31TSTJSFL', 'elexis_O6KNJOKD3F', 'elexis_R4MKHJSH42', 'elexis_MO12VADP2T', 'elexis_Y2MQGJYFDR', 'elexis_0A92PNWB0V', 'elexis_LOKWUJOYSF', 'elexis_K58TZSVTDF', 'elexis_MOI85XB54I', 'elexis_A2S2V4ECYG', 'elexis_3OLDZV4J5O', 'elexis_5LUKEV769R', 'elexis_9EFE8OX7GP', 'elexis_U4ZT98IERI', 'elexis_I5WLFSB9Y5', 'elexis_UVDT8TOY84', 'elexis_WG7XMG5V3T', 'elexis_D055NV2UFX', 'elexis_9CKYWROX0F', 'elexis_GXQH153NKZ']"
99,CyberspeakP1.pdf - preview,en,['en'],['gen'],1,['elexis_5B231MLK12']
100,Cyberspeak_innovations_phenomenology,en,['en'],['gen'],0,['Cyberspeak']
101,DB TurSlov 3.0_edit.pdf - annotate,en,['en'],['gen'],1,['ske_elexis_2VXYI1C513']
102,DDOtest,en,['en'],['gen'],5122,['kwecmpmd']
103,DIZIONAR_F_476-531.pdf - annotate,en,['en'],['gen'],1,['ske_elexis_J1110RIO8U']
104,Dict2.pdf - annotate,en,['en'],['gen'],1,['ske_elexis_EX2SA9DNON']
105,Dictionnaire des combinaisons de mots by Le Robert (Educa Books) (z-lib.org).pdf - annotate,en,['en'],['gen'],1,"['ske_elexis_XZ9MWR7TSV', 'ske_elexis_EFFJPT91T8']"
106,ERES | Diccionario 2022,en,['en'],['gen'],242,['ERES2022']
107,ExamplePDFAnnotation,en,['en'],['gen'],1,['ugxn4r2m']
108,FISH.pdf - annotate,en,['en'],['gen'],1,['ske_elexis_4TEYNYXBOG']
109,FISH.pdf - preview,en,['en'],['gen'],1,['ske_elexis_CKW0LHQ2BX']
110,FewPages-el.pdf - annotate,en,['en'],['gen'],0,['ske_elexis_WOZZ9ZRMGB']
111,Flatty,en,['en'],['gen'],1,['zmgf64sdp']
112,Frequency Dictionary of Albanian,en,['en'],['gen'],3,['h8jgwr9r']
